Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
Gorillaz,Feel Good Inc.,-6.679,0.00836,138.559,https://www.youtube.com/watch?v=HyHNuVaZJ-k
Gorillaz,Rhinestone Eyes,-5.815,0.0869,92.761,https://www.youtube.com/watch?v=yYDmaexVHic
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),-3.93,0.0425,108.014,https://www.youtube.com/watch?v=qJa-VFwPpYA
Gorillaz,On Melancholy Hill,-5.81,1.51e-05,120.423,https://www.youtube.com/watch?v=04mfKJWDSzI
Gorillaz,Clint Eastwood,-8.627,0.0253,167.953,https://www.youtube.com/watch?v=1V_xRb0x9aw
Gorillaz,DARE,-5.852,0.0229,120.264,https://www.youtube.com/watch?v=uAOR6ib95kQ
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,-7.185,0.012,127.03,https://www.youtube.com/watch?v=BONNm0F7Tto
Gorillaz,She's My Collar (feat. Kali Uchis),-5.886,0.00799,140.158,https://www.youtube.com/watch?v=f8NwLXYIHS4
Gorillaz,Cracker Island (feat. Thundercat),-3.34,0.00343,120.012,https://www.youtube.com/watch?v=S03T47hapAc
Gorillaz,Dirty Harry,-7.176,0.0315,192.296,https://www.youtube.com/watch?v=cLnkQAeMbIM
Red Hot Chili Peppers,Californication,-2.788,0.0021,96.483,https://www.youtube.com/watch?v=YlUKcNNmywk
Red Hot Chili Peppers,Under the Bridge,-13.496,0.0576,84.581,https://www.youtube.com/watch?v=GLvohMXgcBo
Red Hot Chili Peppers,Can't Stop,-3.442,0.0179,91.455,https://www.youtube.com/watch?v=8DyziWtkfBw
Red Hot Chili Peppers,Scar Tissue,-4.803,0.0779,88.969,https://www.youtube.com/watch?v=mzJj5-lubeM
Red Hot Chili Peppers,Otherside,-3.265,0.00316,123.229,https://www.youtube.com/watch?v=rn_YodiJO6k
Red Hot Chili Peppers,Snow (Hey Oh),-3.674,0.116,104.655,https://www.youtube.com/watch?v=yuFI5KSPAt4
Red Hot Chili Peppers,Dani California,-2.36,0.0193,96.184,https://www.youtube.com/watch?v=Sb5aq5HcS1A
Red Hot Chili Peppers,By the Way,-4.938,0.0264,122.444,https://www.youtube.com/watch?v=JnfyjwChuNU
Red Hot Chili Peppers,Give It Away,-9.919,0.00244,91.577,https://www.youtube.com/watch?v=Mr_uHJPUlO8
Red Hot Chili Peppers,Dark Necessities,-6.777,0.0722,91.959,https://www.youtube.com/watch?v=Q0oIoR9mLwc
50 Cent,In Da Club,-2.776,0.26,90.059,https://www.youtube.com/watch?v=5qm8PH4xAss
50 Cent,Candy Shop,-7.961,0.0253,125.173,https://www.youtube.com/watch?v=SRcnnId15BA
50 Cent,Just A Lil Bit,-6.672,0.0322,96.946,https://www.youtube.com/watch?v=GllEDACUbNo
50 Cent,P.I.M.P.,-3.012,0.0444,78.693,https://www.youtube.com/watch?v=UDApZhXTpH8
50 Cent,Many Men (Wish Death),-2.93,0.0153,108.52,https://www.youtube.com/watch?v=5D3crqpClPY
50 Cent,Disco Inferno,-4.763,0.206,97.018,https://www.youtube.com/watch?v=GNqYWkiBHHw
50 Cent,21 Questions,-3.908,0.353,90.012,https://www.youtube.com/watch?v=cDMhlvbOFaM
50 Cent,Is This Love ('09) (feat. 50 Cent),-4.221,0.0714,94.028,https://www.youtube.com/watch?v=Zl64MRAqQxk
50 Cent,If I Can't,-2.522,0.244,93.975,https://www.youtube.com/watch?v=_vUC0-V2k1E
50 Cent,Best Friend - Remix,-3.529,0.368,181.733,https://www.youtube.com/watch?v=UQNLDwQYDDg
Metallica,Enter Sandman (Remastered),-8.412,0.00277,123.296,https://www.youtube.com/watch?v=CD-E-LDc384
Metallica,Nothing Else Matters (Remastered),-9.793,0.0522,142.37,https://www.youtube.com/watch?v=tAGnKpE4NCI
Metallica,Master of Puppets (Remastered),-9.108,0.00067,105.25,https://www.youtube.com/watch?v=E0ozmU9cJDg
Metallica,Whiskey In The Jar,-3.751,5.36e-06,132.97,https://www.youtube.com/watch?v=wsrvmNtWU4E
Metallica,The Unforgiven (Remastered),-9.47,0.0184,139.503,https://www.youtube.com/watch?v=Ckom3gf57Yw
Metallica,One (Remastered),-9.15,0.000668,103.01,https://www.youtube.com/watch?v=oTS5cPTqFWM
Metallica,For Whom The Bell Tolls (Remastered),-6.145,0.00631,117.909,https://www.youtube.com/watch?v=B_HSa1dEL9s
Metallica,Lux Æterna,-2.96,1.15e-05,130.573,https://www.youtube.com/watch?v=_u-7rWKnVVo
Metallica,Sad But True (Remastered),-6.005,0.000926,89.24,https://www.youtube.com/watch?v=A8MO7fkZc5o
Metallica,Screaming Suicide,-3.448,2.42e-05,101.125,https://www.youtube.com/watch?v=ZDyDpdFZHBo
Coldplay,Yellow,-7.227,0.00239,173.372,https://www.youtube.com/watch?v=yKNxeF4KMsY
Coldplay,Viva La Vida,-7.115,0.0954,138.015,https://www.youtube.com/watch?v=dvgZkm1xWPE
Coldplay,Sparks,-10.506,0.748,102.617,https://www.youtube.com/watch?v=1aokooixKIo
Coldplay,Something Just Like This,-6.769,0.0498,103.019,https://www.youtube.com/watch?v=FM7MFYoylVs
Coldplay,The Scientist,-7.224,0.731,146.277,https://www.youtube.com/watch?v=RB-RcX5DS5A
Coldplay,A Sky Full of Stars,-6.474,0.00617,124.97,https://www.youtube.com/watch?v=VPRjCeoBqrI
Coldplay,Paradise,-6.761,0.0509,139.631,https://www.youtube.com/watch?v=1G4isv_Fylg
Coldplay,Hymn for the Weekend,-6.487,0.211,90.027,https://www.youtube.com/watch?v=YykjpeuMNEk
Coldplay,My Universe,-6.268,0.0114,105.006,https://www.youtube.com/watch?v=3YqPKLZF_WU
Coldplay,Fix You,-8.74,0.164,138.178,https://www.youtube.com/watch?v=k4V3Mo61fJM
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,-8.966,0.0426,116.047,https://www.youtube.com/watch?v=CCHdMIEGaaM
Daft Punk,One More Time,-8.618,0.0194,122.746,https://www.youtube.com/watch?v=FGBhQbmPwH8
Daft Punk,Instant Crush (feat. Julian Casablancas),-9.516,0.0422,109.942,https://www.youtube.com/watch?v=a5uQMwRMHcs
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),-9.404,0.0378,116.05,https://www.youtube.com/watch?v=CCHdMIEGaaM
Daft Punk,Around the World,-5.311,0.00356,121.294,https://www.youtube.com/watch?v=K0HSD_i2DvA
Daft Punk,"Harder, Better, Faster, Stronger",-8.898,0.0427,123.474,https://www.youtube.com/watch?v=gAjR4_CbPpQ
Daft Punk,Something About Us,-12.673,0.44,99.958,https://www.youtube.com/watch?v=sOS9aOIXPEk
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),-7.828,0.0839,100.163,https://www.youtube.com/watch?v=NF-kLy44Hls
Daft Punk,Veridis Quo,-13.928,0.479,106.896,https://www.youtube.com/watch?v=HhZaHf8RP6g
Daft Punk,Digital Love,-8.398,0.048,124.726,https://www.youtube.com/watch?v=FxzBvqY5PP0
Linkin Park,In the End,-5.87,0.00958,105.143,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park,Numb,-4.153,0.0046,110.018,https://www.youtube.com/watch?v=kXYiU_JCYtU
Linkin Park,What I've Done,-5.285,0.0141,120.119,https://www.youtube.com/watch?v=8sgycukafqQ
Linkin Park,Numb / Encore,-4.254,0.0603,107.045,https://www.youtube.com/watch?v=DLlF2FMv968
Linkin Park,One Step Closer,-4.419,0.0014,95.136,https://www.youtube.com/watch?v=4qlCC1GOwFw
Linkin Park,Faint,-3.554,0.111,135.095,https://www.youtube.com/watch?v=LYU-8IFcDPw
Linkin Park,Bleed It Out,-3.647,0.114,140.127,https://www.youtube.com/watch?v=OnuuYcqhzCE
Linkin Park,Papercut,-3.994,0.00022,150.184,https://www.youtube.com/watch?v=vjVkXlxsO8Q
Linkin Park,Crawling,-5.565,0.0466,105.076,https://www.youtube.com/watch?v=Gd9OhYroLN0
Linkin Park,BURN IT DOWN,-4.45,0.0143,110.006,https://www.youtube.com/watch?v=dxytyRy-O1k
Radiohead,Creep,-9.935,0.0097,91.844,https://www.youtube.com/watch?v=XFkzRNyygfk
Radiohead,No Surprises,-10.654,0.0577,76.426,https://www.youtube.com/watch?v=u5CVsCnxyXg
Radiohead,Karma Police,-9.129,0.0638,74.807,https://www.youtube.com/watch?v=1uYWYWPc9HU
Radiohead,High and Dry,-11.782,0.0724,87.568,https://www.youtube.com/watch?v=AG6H5i1x5A0
Radiohead,Exit Music (For A Film),-11.357,0.224,121.603,https://www.youtube.com/watch?v=Bf01riuiJWA
Radiohead,Weird Fishes/ Arpeggi,-8.025,0.772,152.958,https://www.youtube.com/watch?v=TNRCvG9YtYI
Radiohead,Jigsaw Falling Into Place,-6.085,0.108,165.653,https://www.youtube.com/watch?v=GoLJJRIWCLU
Radiohead,Fake Plastic Trees,-12.592,0.167,73.543,https://www.youtube.com/watch?v=n5h0qHwNrHk
Radiohead,Just,-6.913,0.000401,175.702,https://www.youtube.com/watch?v=oIFLtNYI3Ls
Radiohead,Nude,-9.785,0.832,128.378,https://www.youtube.com/watch?v=BbWBRnDK_AE
AC/DC,Highway to Hell,-4.793,0.061,115.728,https://www.youtube.com/watch?v=l482T0yNkeo
